selection_rank,selection_score,selection_band,compiler_action,record_class,source_note_status,selection_flags,country_risk_level,country_risk_score,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,subject_or_context,priority_or_release_status,source_score,page_count_or_range,themes_or_topics,same_date_diary_backup_count,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_private_records_14_days,nearby_public_statement_count_7_days,source_series,source_folder_or_title,source_note,provenance_note,pdf_url,catalog_or_details_url,page_link,record_id
1022,48,Reference lead,"Retain as reference unless it resolves a country gap, public-private mismatch, or annotation need.",Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,26,Colombia,Colombia,1989-11-01,"November 1, 1989",Volume date range,Memorandum,Status of Sea Search-Armada Case,"memorandum form; document text visible in OCR",Reference,40,95,,,,,-2d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=95,subject-print-470766564-95-memorandum
1023,48,Reference lead,"Retain as reference unless it resolves a country gap, public-private mismatch, or annotation need.",Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,18,Venezuela,Venezuela,1989-11-15,"November 15, 1989",Volume date range,Memorandum,Reverend Jeronimo Perez,"memorandum form; document text visible in OCR",Reference,40,37,,,,,-14d 1989-11-01 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"November 1, 1989-November 15, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-009, November 1, 1989-November 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-009.pdf,https://catalog.archives.gov/id/470766466,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-009.pdf#page=37,chronological-print-470766466-37-memorandum
1024,47,Reference lead,"Retain as reference unless it resolves a country gap, public-private mismatch, or annotation need.",Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image",,,Regional/No single country,,1989-05-03,5/3/89,Volume date range,Memorandum,To: Legislative Liaison Officer From: Ronald Peterson,"memorandum form; Latin America, regional policy; identified on withdrawal sheet",Reference,40,2,"Latin America; regional policy",,,,,,Latin American Affairs Directorate Subject Files,"Latin America - General - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00196, CF00196-021, Latin America - General - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-021.pdf,https://catalog.archives.gov/id/470766607,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-021.pdf#page=2,subject-print-470766607-2-01
1025,42,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Critical,95,Argentina,"Argentina; Brazil; Chile",,16 OCT 89,Undated/needs verification,Memorandum,To: HUGHES,"memorandum form; document text visible in OCR",Reference,40,17,,,,,,,Latin American Directorate Chronological Files,"October 1, 1989-October 15, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-001, October 1, 1989-October 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-001.pdf,https://catalog.archives.gov/id/470766458,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-001.pdf#page=17,chronological-print-470766458-17-memorandum
1026,42,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Critical,95,Bolivia,Bolivia,,,Undated/needs verification,Action Memo,BOLIVIAN REQUEST FOR AGREMENT FOR JORGE aA...,"memorandum form; document text visible in OCR",Reference,40,108,,,,,,,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-017, September 16, 1989-September 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf,https://catalog.archives.gov/id/470766454,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf#page=108,chronological-print-470766454-108-action-memo
1027,42,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Critical,87,Peru,Peru,,,Undated/needs verification,Action Memo,CUBAN OFFICIAL ONITV MARTI,"memorandum form; ussr/cuba; document text visible in OCR",Reference,40,54,ussr/cuba,,,,,,Latin American Directorate Chronological Files,"December 1, 1989-December 15, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-013, December 1, 1989-December 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-013.pdf,https://catalog.archives.gov/id/470766470,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-013.pdf#page=54,chronological-print-470766470-54-action-memo
1028,42,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Critical,87,Peru,Peru,,,Undated/needs verification,Memorandum,Nomination of Anthony Cecil Eden Quainton as,"memorandum form; document text visible in OCR",Reference,40,24,,,,,,,Latin American Affairs Directorate Subject Files,"Peru - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-003, Peru - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2001-0010-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf,https://catalog.archives.gov/id/470766518,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf#page=24,subject-print-470766518-24-memorandum
1029,42,Reference lead,"Retain as reference unless it resolves a country gap, public-private mismatch, or annotation need.",Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,28,Brazil,Brazil,1989-02-06,"February 6, 1989",Volume date range,Memorandum,"To: THE SITUATION ROOM; From: CLARKE M. BRINTNALL","memorandum form; document text visible in OCR",Reference,40,91,,,,,,,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [5]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-009, February 1, 1989-March 1, 1989 [5]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf,https://catalog.archives.gov/id/470766410,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf#page=91,chronological-print-470766410-91-memorandum
1030,42,Reference lead,"Retain as reference unless it resolves a country gap, public-private mismatch, or annotation need.",Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,28,Brazil,Brazil,1989-08-16,"August 16, 1989",Volume date range,Memorandum,Defense Department Proposal to Transfer a U.S.,"memorandum form; document text visible in OCR",Reference,40,95,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=95,subject-print-470766486-95-memorandum
1031,42,Reference lead,"Retain as reference unless it resolves a country gap, public-private mismatch, or annotation need.",Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,28,Brazil,Brazil,1989-11-17,"November 17, 1989",Volume date range,Memorandum,HR 3544 - To authorize the transfer of a specified,"memorandum form; document text visible in OCR",Reference,40,41,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=41,subject-print-470766486-41-memorandum
1032,41,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,26,Colombia,Colombia,,,Undated/needs verification,Cable,"From American Embassy,","narcotics; identified on withdrawal sheet",Reference,43,3,narcotics,,,,,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=3,subject-print-470766564-3-08
1033,41,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,26,Colombia,Colombia,,,Undated/needs verification,Cable,"From American Embassy,","narcotics; identified on withdrawal sheet",Reference,43,2,narcotics,,,,,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-009, Colombia - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-009.pdf,https://catalog.archives.gov/id/470766566,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-009.pdf#page=2,subject-print-470766566-2-02
1034,41,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,26,Colombia,Colombia,,,Undated/needs verification,Cable,"From Secretary of State to American Embassy,","narcotics; identified on withdrawal sheet",Reference,43,2,narcotics,,,,,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=2,subject-print-470766564-2-05
1035,38,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,28,Brazil,Brazil,1988-11-01,11/01/1988,Pre-Bush/background,Memorandum,To Tyrus W. Cobb,"memorandum form; identified on withdrawal sheet",Reference,40,3,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=3,subject-print-470766487-3-04k
1036,38,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,28,Brazil,Brazil,1988-11-04,11/04/1988,Pre-Bush/background,Memorandum,From Carlton Thorne to Mr. Rosenthal,"memorandum form; identified on withdrawal sheet",Reference,40,4,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=4,subject-print-470766487-4-04p
1037,38,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,28,Brazil,Brazil,1988-11-09,11/09/1988,Pre-Bush/background,Memorandum,From Richard T. Kennedy to Allen Wendt,"memorandum form; identified on withdrawal sheet",Reference,40,3,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=3,subject-print-470766487-3-04n
1038,38,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,28,Brazil,Brazil,1988-11-22,11/22/1988,Pre-Bush/background,Memorandum,For Super Computer Working Group,"memorandum form; identified on withdrawal sheet",Reference,40,3,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=3,subject-print-470766487-3-04m
1039,38,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,28,Brazil,Brazil,1988-11-22,11/22/1988,Pre-Bush/background,Memorandum,For Super Computer Working Group Re: Sale,"memorandum form; identified on withdrawal sheet",Reference,40,41,,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-014, Brazil - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf,https://catalog.archives.gov/id/470766487,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-014.pdf#page=41,subject-print-470766487-41-04m
1040,36,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Medium,32,Uruguay,Uruguay,,n.d.,Undated/needs verification,Memcon,Memorandum of Conversation,"memorandum form; identified on withdrawal sheet",Reference,40,4,,,,,,,Latin American Affairs Directorate Subject Files,"Uruguay - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/470766531,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf#page=4,subject-print-470766531-4-04a
1041,36,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Medium,32,Uruguay,Uruguay,,,Undated/needs verification,Memcon,Memorandum of Conversation,"memorandum form; identified on withdrawal sheet",Reference,40,60,,,,,,,Latin American Affairs Directorate Subject Files,"Uruguay - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/470766531,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf#page=60,subject-print-470766531-60-04a
1042,32,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Medium,32,Uruguay,Uruguay,,16 Aug 1989,Undated/needs verification,Memorandum,AGUAY/PRES SANGUINETTI INTEREST IN MTG PRES,"memorandum form; document text visible in OCR",Reference,40,13,,,,,,,Latin American Directorate Chronological Files,"August 16, 1989-August 31, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-013, August 16, 1989-August 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-013.pdf,https://catalog.archives.gov/id/470766450,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-013.pdf#page=13,chronological-print-470766450-13-memorandum
1043,32,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image",Monitor,26,Argentina,Argentina,,,Undated/needs verification,Memorandum,For the File From: Everett Ellis,"memorandum form; identified on withdrawal sheet",Reference,40,3,,,,,,,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-017, September 16, 1989-September 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf,https://catalog.archives.gov/id/470766454,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf#page=3,chronological-print-470766454-3-03
